rq_id,old_rq_no,old_slide,category,chapter,chapter_v3,section,hitl,component,charted,chapter_note,action,question,kind,role,method,detectors,sources,status,defer_reason,background,hypothesis,ideal,transcript,old_question,merged_in,now
RQ-h1-045,RQ 03.02,51,C03,2,10,S02,no,none,yes,before/after comparison series,reword,How did churn per commit and per change set compare before and after the factory in the same repo?,metric,core,sql + detector,D1,commits;commit_files,now,,"If we claim the factory improved things, we need the before value. Revert rate and security/dependency commit share are secondary.","If we want to show the factory improved things, compare how often we changed things before it existed versus after.",Churn per change set falls and stays flat once conventions and gates are in place.,00:40:09 'if we want to show that the factory improved things then… before… after',"How did code churn per commit (files touched, lines added/deleted), test-file coverage, revert rate, and the frequency of security- and dependency-related commits compare before the factory existed versus after, for the same repo?",,
RQ-h7-016,RQ 14.01,276,C14,2,7,S01,no,state-store,no,store schema is state beyond a session,reword,"Does the work-item store have a schema, when did each repo adopt each version, and which metrics silently exclude repos that never migrated?",inventory,core,sql,,plan_items,now,,Plans and work items need their own well-defined schema. It started minimal and grew; metrics built on later fields miss older repos.,"Plans and work items need a very well-defined schema. Originally minimal, it grew over time; say whether it has one and how often it changes.","One versioned schema, migrated fleet-wide on change, validated on write.",00:27:43 'the plans and the work items need to have their own schema',"How consistently are the work-item store's proxy fields (a reversibility flag, a human-review field, a work-item type) populated and defined across a fleet whose repos adopted the schema at different times, and do metrics built on those fields quietly exclude the repos that never migrated?",,
RQ-h7-020,RQ 14.06,281,C14,2,2,S01,no,none,no,,reword,"How reliable is attributing spend to a work item, and where does attribution confidence break down?",metric,core,detector,D9,sessions;turns;plan_items,baseline,,Spend attribution follows session → branch → item. Joining it to correction rate avoids a false efficiency picture.,Not discussed. Draft: branch-backed attribution is solid; sessions spanning many branches are not.,"Every session runs on exactly one item, so spend attributes exactly.",,"How reliable is the method used to attribute spend to a work item, a sweep, or a unit of shipped code -- where does attribution confidence break down, and does looking at cost without also joining it to how much correction that work needed give a false picture of efficiency?",,
RQ-h7-021,RQ 14.04,279,C14,2,2,S01,no,none,no,,reword,How reproducible are the study's model-assigned labels if a second classifier or rater runs the same method?,metric,core,haiku + human,,prompts;prs,now,,Every Haiku label needs an agreement rate on a sample before its numbers are trusted.,Not discussed. Draft: category labels agree well; correction-vs-steering labels agree less.,Labels carry a measured agreement rate and low-agreement ones are adjudicated.,,"How reproducible are the automated classifications this study relies on -- an LLM-adjudicated label for a corrective prompt, a category assigned to a pull request, a cutoff between autonomy bands, a distinction between 'interrupting' and 'steering' -- if a second rater, classifier, or operator with different phrasing habits ran the same method?",,
RQ-h7-022,RQ 14.13,288,C14,2,2,S01,no,none,no,,reword,"How accurate are the links between records (session to PR, co-author trailer to real agent work, subject match to a sweep)?",metric,core,sql + human,,sessions;commits;trailers;prs,now,,A spot-check with an error rate for each link type the study relies on.,Not discussed. Draft: trailers and branch links are accurate; subject matching undercounts sweeps.,"Links are recorded explicitly, never inferred.",,"How reliable are the mechanisms used to link one record to another -- a session to the pull request it produced, a co-authorship trailer to actual agent involvement, an exact commit-subject match to a cross-repo sweep or a repeated finding -- and how much do they undercount or misattribute when the underlying pattern varies slightly?",,
RQ-h7-024,RQ 14.02,277,C14,2,2,S01,no,none,no,,reword,"When the study credits a process change with an outcome, is the evidence causal or only correlational?",judgement,core,human,,,now,,Every intervention claim needs a pre/post window and a stated mechanism. Separating general findings from this factory's specifics goes to generalizability.,Not discussed. Draft: most claims are correlational; a few have a named mechanism in the record.,Interventions are staged so their effect can be measured before and after.,,"When this study attributes a change in outcomes to a specific process intervention, how much of that attribution is causal versus correlational, what pre/post window and lag would a defensible estimate need, and which findings are specific to this one factory's process-plugin architecture rather than general truths about agentic engineering?",,
RQ-h7-025,RQ 14.08,283,C14,2,2,S01,no,none,no,,reword,"How biased is the defect data by counting only what was found, fixed and described by its own author?",judgement,core,sql + human,,plan_items;item_logs,now,,"Open defects are right-censored, and pairs linked only by narration are undercounted.",Not discussed. Draft: meaningfully biased; open defects and unnarrated regressions are missing.,"Defects are logged by the gate that catches them, not narrated afterward.",,"How much of this study's defect and process-change dataset is biased by only counting what was eventually found, fixed, and narrated by its own author, and how would the findings change if still-open defects and un-narrated regressions were counted too?",,
RQ-h7-026,RQ 14.05,280,C14,2,2,S01,no,none,no,,reword,"What unit should flow and output be compared in across repos: lines, commits, PRs or change sets?",judgement,core,detector + human,D1,commits;prs,now,,"The owner's rollup: lines → change set → commit → PR → item → goal → repo → fleet, with change sets as the default. This question checks how much rankings shift by unit.","Lines of code is a starting point, but make change sets the default unit inside one PR; it rolls into PRs, repos and the fleet.","Change sets are recorded at commit time, so no inference is needed.",00:24:15 'let's have change set as the default unit inside one PR',"What is the right unit and normalization basis for comparing flow, throughput, and decision-recording across repos or across factories of different age, size, and review-loop design -- a pull request or a commit, raw counts or counts per line of code, or a metric like decision density?",,
RQ-h7-028,RQ 14.14,289,C14,2,8,S08,no,evidence,no,convention vs mechanical check is about what can be trusted,reword,"Which design-record disciplines hold by convention alone and which need a mechanical check, and can staleness be computed?",yes/no,core,detector,D10;D2,doc_versions;design_decisions,now,,Tests whether conventions rot without enforcement.,Not discussed. Draft: disciplines without a check rot; staleness is computable from last-touch vs code-change dates.,"Every discipline has a check, and staleness is a reported number.",,"Which parts of a factory's architecture-documentation discipline (an append-only decision record, an anchor to the code version it describes, an exemption for repos with no product surface) survive on convention alone versus need automated enforcement to not silently rot, and can that document's own staleness be measured automatically rather than judged by re-reading it?",,
RQ-h7-029,RQ 14.09,284,C14,2,8,S13,no,evidence,no,,reword,"How reliable are the factory's security-process signals, such as a review with no findings while a parallel review finds a critical issue?",metric,core,sql,,pr_reviews;plan_items,baseline,,"Checks whether security signals can be trusted and turned into standing checks: finding-to-fix time, stale suppressions, single-gate auto-apply.",Not discussed. Draft: single review passes miss things another pass catches.,Security signals are standing automated checks with measured miss rates.,,"How reliable are a factory's security-process signals -- a review pass returning no findings while a parallel review in the same round finds a critical issue, a finding's time from filed to fixed as a KPI, a dated suppression comment whose stated condition may have since changed, an auto-apply setting with only one approval gate, a shared workflow file every downstream repo calls with no independent verification -- and could each be turned into a standing, automated check?",,
RQ-h7-030,RQ 14.15,290,C14,2,2,S01,no,none,no,,reword,"When two independent passes count the same history, where do totals disagree, and does the chosen fleet and window exclude a formative period?",metric,core,sql + human,,commits;repos,now,,"Rigor check: recount, list what's excluded, and apply the fact-check correction rate.",Not discussed. Draft: totals differ at the edges; the excluded early period matters for the before-the-factory story.,Counts are reproducible from one pipeline.,,"When two independent passes analyze the same raw factory history, where do their totals disagree and which should be trusted; does the study's chosen fleet membership and time window exclude an earlier formative period or a set of abandoned side-repos that would change the narrative; and what does the error rate found by a dedicated fact-check pass say about how much rigor a report needs?",,
RQ-h7-032,RQ 14.16,291,C14,2,8,S15,no,evidence,no,Asks whether claimed savings were measured: evidence,reword,"When a process change was made to cut token cost or latency, was the saving measured before and after?",yes/no,core,sql + human,,sessions;skill_versions,now,,Many cost-motivated redesigns ship without measurement.,Not discussed. Draft: most were not measured.,Every cost-motivated change carries a before and after number.,,"For a redesign undertaken specifically to cut the harness's token cost or latency, was the claimed saving actually measured before and after the change, and how many of a factory's other process redesigns shipped without that same before/after measurement?",,
RQ-h6-041,RQ 11.12,231,C11,3,8,S12,no,gate,no,,reword,"What decides how many reviewer agents run on a PR, and does more review catch more real defects?",metric,core,sql + detector,D5;D8,harness.subagent_runs;github.prs;github.pr_reviews,baseline,,"The owner uses several reviewer personas (code, security, completion, comment drift).","Everything is reviewed; slow reviews on small changes are a harness problem, not PR size.",Review depth scales with risk and each persona's miss rate is known.,53:29 — different reviewers each might miss something.,"Which factor, content sensitivity or diff size, actually decides how many reviewer agents run on a pull request, and does that decision correlate with whether the review catches a real defect?",,
RQ-h6-042,RQ 11.13,232,C11,3,,S03,,,,,merge:RQ-h1-037,"How many agent sessions does one work item take, counting each fresh start or /clear as a new session?",distribution,core,sql,,harness.sessions;plans.plan_items,now,,"A session is a fresh start or /clear; paused sessions (night, laptop shut) are waste unless tokens are unlimited.","""Pausing of a session is perhaps a wastage of time if you had infinite tokens; you don't.""","One work item, one session, no pauses.",35:51 — session is start or /clear; sessions paused at night.,"How many agent sessions does a given piece of work require, and does that count track more closely with commits produced or with wall-clock days active?",,→ C02
RQ-h6-043,RQ 11.05,224,C11,3,6,S03,no,orchestration,no,isolation between concurrent agents,reword,"How often does a task run in an isolated worktree versus the shared checkout, and do shared checkouts produce collisions between sessions?",metric,core,sql + haiku,,harness.tool_calls;harness.sessions;harness.prompts,now,,Two sessions in one checkout can step on each other; the harness may not know another session is working there.,"""I really want it to be in different work trees""; sometimes the harness doesn't recognise another agent is in the repo.",Every task runs in its own worktree or sandbox; collisions are zero.,32:10 — two agents on one repo should be in different worktrees.,"How often does a task fan out into multiple subagents or isolated worktrees, does isolation reduce cross-branch collisions, is subagent count and scope specified per procedure or left to model judgment, and are there harness capabilities a subagent still can't reach?",,
RQ-h6-044,RQ 11.14,233,C11,3,3,S03,no,harness,yes,,reword,"Does the model or harness version used for a piece of work correlate with follow-up fixes, throughput or turn duration?",metric,core,sql + detector,D5,harness.sessions;harness.turns;git.commits,now,,"Quality differences by model are the harness question, separate from the factory.","Not discussed. Draft: larger models do more structural work per session, at higher cost.",Model and harness versions are chosen per task from measured quality.,,"Does the harness version or model used for a piece of work correlate with a measurable difference in quality, throughput, or turn duration compared to other work in the same period?",,
RQ-h6-045,RQ 11.07,226,C11,3,9,S03,yes,gate,no,unattended vs supervised: what stays human,reword,"What share of sessions run in unattended (auto) mode versus supervised confirmation, and does that share predict follow-up fixes?",metric,core,sql + detector,D5,harness.sessions;harness.tool_calls;git.commits,baseline,,Permission mode trades the owner's attention for risk.,Not discussed. Draft: auto mode rose over time without a visible rise in follow-up fixes.,Unattended by default; supervision only at the human gates.,,"What share of commits or sessions run under unattended execution versus supervised confirmation, and does that share predict the mistake rate, the permission mode in use, or how often an autonomous launch gets refused by a safety classifier?",,
RQ-h6-046,RQ 11.02,221,C11,3,3,S03,no,harness,yes,,reword,"What share of commits does each model co-author, and does model choice correlate with commit type or follow-up fixes?",metric,core,sql + detector,D5,git.commits;git.trailers,now,,Co-author trailers record the model per commit.,Owner: Sonnet 4.6 in Claude Code accelerated personal work; the switch to larger Opus models moved work from features to structural fixes.,Model choice is per task and shows in the outcome data.,"11:18 — since Opus replaced Sonnet 4.6, more structural work than features.","What is each model's share of a fleet's commits by co-authorship attribution, how did that share and the attribution format change over the period, and does model choice correlate with commit type or defect rate?",,
RQ-h6-047,RQ 11.06,225,C11,3,3,S03,no,harness,no,,reword,"Is the convention of investigating in a subagent, to keep the main context small, followed in practice?",metric,core,sql,,harness.tool_calls;harness.subagent_runs,now,,The agent instructions ask for investigation in an Explore subagent.,Not discussed. Draft: followed most of the time; the second half of the old question (shared instruction file drift) belongs to S06.,"Context hygiene is enforced by the harness, not by instruction.",,"Is the convention of investigating in a subagent to keep the main session's context small actually followed in practice, and does the same shared instruction file differ substantively between repos meant to carry an identical copy?",,
RQ-h6-048,RQ 11.17,236,C11,3,9,S04,yes,gate,no,,reword,How often does an agent's judgment call get reversed by the owner or a later work item?,metric,core,sql + haiku,,plans.item_logs;harness.prompts,baseline,,Reversed judgment calls show where the agent's recommendation should not be leaned on.,"Owner leans into the agent's recommendation after a 3–4 line read: velocity up, errors up.",Reversals rare and each one becomes a rule.,,"How often does an agent's judgment call get reversed by a human or a later work item, and how thoroughly does a repo's own design record get self-audited for entries that have gone stale relative to its stated invariants?",,
RQ-h6-049,RQ 11.15,234,C11,3,9,S09,no,policy,no,goals without budgets is a control question,reword,"How many turns and PRs does a goal take to complete, given that goals have no stated budget?",distribution,core,sql,,plans.goals;harness.turns;github.prs,baseline,,Goals were not given a turn or cost budget; number of PRs was the implicit one.,"""Do we have budgets for unit of work? I don't think so.""",Each goal has a budget and exceeding it is flagged.,29:19 — no budgets; maybe commits or PRs per goal.,"How many turns does a goal typically take to complete, and what is the ratio of actual work produced to a goal's initial cost budget?",,
RQ-h6-050,RQ 11.01,220,C11,3,10,S03,no,harness,yes,spend trend over time,reword,"What is total agent spend, and how does it split between the main thread and subagents?",metric,core,sql,,harness.sessions;harness.subagent_runs,baseline,,"Cost is the harness-reported API-equivalent cost; the subscription plan changed during the year, so dollars paid differ.",Not discussed. Draft: subagents trade attention for money; their share grew as review and investigation moved into them.,Subagent spend buys main-session context at a known price per task.,,"What is the fleet's total agent spend, how does it split between the main thread and subagents, what share goes to fixing bugs a prior session introduced versus net-new work, and how are prompts and working time distributed per session?",,
RQ-h6-051,RQ 11.04,223,C11,3,3,S03,no,harness,yes,,reword,"How does the main-thread model mix change week to week, and how quickly is a newly released model adopted?",metric,core,sql,,harness.turns;harness.model_releases,now,,Model choice drives both spend and the kind of work done.,Owner: Sonnet 4.6 then larger Opus models; the switch changed the work mix.,"Model adoption follows an eval, not a default.",11:18 — Sonnet 4.6 replaced with larger Opus models.,"How does the mix of models running on the main thread change week to week, what drives an operator to switch models mid-project, and how quickly does a new model's fleet adoption follow its release, active choice or a harness default?",,
RQ-h6-052,RQ 11.03,222,C11,3,3,S03,yes,harness,no,,reword,"How long after a harness feature ships does the owner start using it, and how often is it later abandoned?",lag,core,sql + human,,harness.cc_releases;harness.tool_calls;harness.sessions,now,,"Harness features (subagents, worktrees, auto mode) arrive faster than habits change.",Not discussed. Draft: adopted within days when it removes attention cost; worktrees adopted late.,"New harness capabilities are evaluated and adopted deliberately, with a recorded reason.",,"How long after a harness feature ships does the fleet start using it in daily work, is it later reversed, and once an agent process is set up to reach beyond one client, is that reach actually exercised?",,
RQ-h6-053,RQ 11.08,227,C11,3,3,S03,no,harness,yes,,reword,"How often does the factory hit a session, weekly or plan usage limit, and how long does each stall last?",distribution,core,sql + detector,D6,harness.limit_events;harness.sessions,now,,Provider limits force waits of hours; these are real outages of the factory.,"""There are definite outages that we can track""; limits pushed the owner to pay-per-use.",No limit stalls: capacity is bought to match demand.,"36:15 — session limits, wait three hours; track outages.","How often does the factory hit a session, weekly, or plan-level usage limit, and does the operator's account or billing management activity cluster around those limit events?",,
RQ-h6-054,RQ 11.10,229,C11,3,4,S03,yes,harness,no,context shelf life within one session,keep,Does context compaction in a session correlate with a later human correction in the same session?,metric,core,sql + haiku,,harness.turns;harness.prompts,now,,Compaction loses context; corrections after it would show the cost.,Not discussed. Draft: corrections rise after compaction.,Sessions are sized so compaction is rare.,,"Does a session hitting context compaction, or emitting an unusual system message, correlate with a later human correction or reported error in the same session?",,
RQ-h6-055,RQ 11.16,235,C11,3,8,S13,no,gate,no,,keep,"How many local safety gates can be bypassed by running the same work in an isolated agent environment, and has that path been used?",yes/no,core,human,,plans.item_logs,deferred,code-deep-dive,Isolation could skip local hooks.,Not discussed.,"Gates enforced server-side, so isolation cannot skip them.",,"How many local safety gates can be bypassed simply by running the same work in an isolated agent environment, and has that path actually been exercised?",,
RQ-h6-056,RQ 11.11,230,C11,3,7,S04,yes,state-store,no,who writes the plan record,reword,What share of work-item log entries are written by the owner versus an agent?,metric,core,sql,,plans.item_logs,now,,Who writes the log shows how much of the record is human.,Not discussed. Draft: almost all entries are agent-written.,Agents write the log; the owner writes decisions only.,,"Which actor, the human operator or an agent process, produced each entry in a repo's work-item log, and does session-management behavior differ by repo type?",,
RQ-h6-057,RQ 11.09,228,C11,3,2,S04,yes,none,no,measurement reliability of correction labels,reword,"How reliable is the automated detection of the owner correcting or interrupting an agent, and does the correction rate differ by repo?",metric,core,sql + haiku,,harness.prompts;harness.turns,now,,Correction detection is a model label; its consistency must be checked before any rate is trusted.,Not discussed. Draft: corrections cluster in the newest repos.,"Corrections are logged at source, not inferred.",,"How reliable is an automated method for detecting when the operator corrected or interrupted an agent, and once measured, does the correction rate differ meaningfully by repo in a way that tracks repo complexity rather than measurement noise?",,
NEW-C12-01,,,C12,4,9,S04,yes,observability,no,,new,"Does the factory record every point where it waits on the human (questions asked, ready-marks, go-authorizations, approvals) with a timestamp for the ask and for the answer?",yes/no,preflight,detector,D10;D6,asks;item_logs;plan_items;pr_reviews,now,,Human-wait questions only work if both ends of each wait are timestamped; some gates (reading a plan) leave no record.,Not discussed. Draft: Asks and ready-marks are recorded; plan reading and verbal go decisions are only partly recorded.,"Every human gate is an event with ask and answer timestamps, so waiting time is a query.","16:06 00:01:54 quantify how often we wait on the human, was it necessary",,,
RQ-h7-001,RQ 12.10,248,C12,4,8,S04,yes,evidence,no,status flip as proxy for review: what counts as evidence,keep,"How well does a single status-flip field serve as a proxy for human review effort, and what share of items complete without that human touch?",metric,core,sql,,plan_items;item_logs,now,,The ready flag may be flipped after reading only a summary.,The ready flag overstates effort: the owner often reads only the first 3–4 lines.,"Human effort is recorded directly (time spent reading), not inferred from a flag.",00:34:44 I just read the first few lines,"How well does a single status-flip field in the work-item store serve as a proxy for human review effort, and what share of work items reach completion without ever recording that human touch?",,
RQ-h7-002,RQ 12.05,243,C12,4,9,S04,yes,gate,no,,reword,"How many work items does the owner mark ready in one sitting, and how long do items wait for that sign-off?",distribution,core,sql,D6,plan_items;item_logs,now,,Planning all tasks at once while the human is present is the factory's batching strategy.,Batched planning: new tasks and ideas are planned all at once rather than one after the other.,Sign-off wait is near zero for low-risk items.,00:22:25 plan all of them at once instead of one after the other,"What is the typical batch size and elapsed time of the factory owner's review sessions -- how many work items get a human sign-off in one sitting, and how long do items wait for it?",,
RQ-h7-003,RQ 12.06,244,C12,4,4,S04,yes,gate,no,human wait share of lead time is flow,reword,"How long does work sit waiting on a human decision (authorization, go, credentials, budget), and what share of lead time is that wait?",metric,core,detector,D6,item_logs;plan_items;asks;limit_events,baseline,,Includes the waiting-for-human share of lead time. Gate ordering that lets work slip miscategorized is a sub-slice.,"Significant; an AFK human is a stalled factory, though some decisions must stay human.","Only genuinely human decisions wait, and they are prioritized.","16:06 00:01:54 how often do we have to wait, was it necessary, prioritization","How long does a work item or cross-repo message sit waiting on a human decision point (an authorization, a budget increase, an accepted-but-unscheduled item), and does the order in which automated gates run around that decision point ever let work slip through miscategorized?",,
RQ-h7-004,RQ 12.07,245,C12,4,9,S04,yes,gate,no,,keep,"As the factory matured, how did the human gate move (continuous approval, status flip, in-session authorization), and how many human decision points remain per unit of work?",inventory,core,human,D10,item_logs;plan_items;skill_versions,now,,The owner defines two gates today: marking a plan ready and saying go.,"Two gates remain: ready after thinking it through, then go implement.","One gate for risky work, zero for routine work.",,"As the factory matured, how did the human gate move -- from continuous approval to a single status flip to an in-session authorization -- and how many distinct human decision points remain per unit of work today?",,
RQ-h7-005,RQ 12.01,239,C12,4,4,S04,yes,gate,yes,"corrections on agent work; interaction, not authority",reword,"Of the owner's corrective actions on agent work, what share are approvals, steering, catching false claims, or scope reverts, and how has that mix shifted?",metric,core,haiku,,prompts;asks;turns,now,,Classified from prompts with a cached Haiku label; time from mistake to correction is a follow-up.,Not discussed. Draft: Approvals dominate and rise over time because the owner leans into the agent's recommendation; steering falls.,Corrections become rare; the human mostly approves at the two gates.,,"Of the corrective actions a human takes on agent work, what share are simple approvals versus steering, false-claim catches, or scope reverts; how has that mix shifted over the factory's life; and how quickly does a human's correction follow the mistake it fixes?",,
RQ-h7-006,RQ 12.02,240,C12,4,4,S04,yes,gate,yes,agent asking the owner is agent behaviour,reword,"How often does an agent stop to ask the owner a question, and how often is the answer agree, push back, or redirect?",metric,core,sql,,asks;tool_calls,now,,Asking all questions at once while the human is present keeps items from stalling.,The owner mostly agrees with the recommended option; asks are batched into planning while the human is present.,"Agents ask only at planning, in one batch, never mid-implementation.","00:22:25 because the human is in front of you, ask all questions at once","How often does an agent stop to ask the factory owner a question rather than proceed or stall silently, what happens to those questions (answered affirmatively, redirected, or ignored), and is the asking rate rising or falling as the process matures?",,
RQ-h7-007,RQ 12.08,246,C12,4,9,S04,yes,gate,no,,reword,"When the owner disagrees with the agent's proposal, what form does it take (correction, interruption, takeover, abandonment), and whose position wins?",metric,core,haiku,,prompts;turns;tool_calls,now,,Classified from prompts and interrupts.,Not discussed. Draft: The owner usually leans into the recommendation; strong disagreement is rare but decisive.,"Disagreements are resolved at planning, not mid-implementation.",,"When a human disagrees with an agent's proposal, what form does that disagreement take (a quick correction, an interruption, a takeover, an abandonment), and what determines whether the human's or the agent's position wins?",,
RQ-h7-008,RQ 12.11,249,C12,4,9,S04,yes,gate,no,,keep,"How often, and why, does the owner stop a running agent mid-task, and does the rate vary with heavier unattended running?",metric,core,sql,,sessions;turns,now,,Interrupt counts are recorded per session; reasons need a cached label.,Not discussed. Draft: Interrupts fall as plans improve and unattended running grows.,Interrupts are rare because the plan gate catches wrong directions.,,"How often and for what reason does the factory owner stop a running agent mid-task rather than letting it finish, and how does that interrupt rate vary across repos and periods of heavier unattended running?",,
RQ-h7-009,RQ 12.03,241,C12,4,10,S04,yes,none,yes,owner interaction behaviour over time,keep,"Does the owner's active time cluster on certain days or hours, and does it grow in proportion to the fleet's size?",metric,core,sql,D6,prompts;sessions,now,,An away human is a stalled factory. Repo concentration per session is a secondary slice.,Not discussed. Draft: Attention is capped (about six parallel sessions) and does not grow with the fleet.,Owner attention is flat while output grows.,16:06 00:01:54 a human away from keyboard is a stalled factory,"Does the factory owner's active time cluster on certain days or hours, concentrate on one repo per session or spread across many, and does the volume of that attention grow in proportion to the fleet's size?",,
RQ-h7-010,RQ 12.13,251,C12,4,,S04,,,,,merge:RQ-h7-011,"What share of work-item log entries name the owner versus an automated actor, by kind of work?",metric,core,sql,,item_logs,now,,"Same actor-share question as commits, on the plan log; kept as a slice.",Not discussed. Draft: Owner share is higher for design-facing work.,Owner appears only at the two gates.,,"Across all work-item log entries, what share names the factory owner as the actor versus an automated pipeline actor, and does that share differ for design-facing work versus structural or security work?",,→ C12
RQ-h7-011,RQ 12.04,242,C12,4,10,S04,yes,none,yes,authorship mix trend over time,reword,"What share of commits are human-only, agent-assisted, or bot-authored, per repo and over time?",metric,core,sql,,commits;trailers,now,,Direct commits to main outside review and off-hours timing are sub-slices.,Not discussed. Draft: Almost all commits are agent-assisted; human-only commits are rare and mostly fixes.,Humans commit nothing; bots and agents do.,,"What share of commits across the fleet are human-only, agent-assisted, or bot-authored; how does that split vary by repo, off-hours timing, and whether the commit reads as a direct correction of prior agent work; and how often does the owner commit straight to a repo's main line rather than through the normal review path?",,
RQ-h7-012,RQ 12.12,250,C12,4,9,S14,yes,gate,no,The human gate on irreversible changes,keep,"For infrastructure changes with irreversible blast radius, is the documented human-gate policy followed, or does it degrade to a rubber-stamp merge?",yes/no,core,sql,D8,prs;pr_reviews;plan_items,baseline,,With coding agents almost every door is two-way; true one-way doors are breaking changes for launched users and infrastructure.,Not discussed. Draft: Mostly followed for infrastructure; elsewhere the owner leans on the agent.,One-way-door changes always stop for a human; everything else flows.,,"For infrastructure changes with irreversible blast radius, does the documented human-gate policy (reading the plan before applying, stopping on a secret-touching change) actually get followed, or does it degrade into a rubber-stamp merge?",,
